,simset,condition,GA,DAT,ANS,sentCount,corrCountEmbV,corrCountRefl,acc_embV,acc_refl
0,1,OR-REFL,0.5,0.05,0.15,1000.0,497.0,301.0,0.994,0.602
1,1,SR-REFL,0.5,0.05,0.15,1000.0,500.0,196.0,1.0,0.392
2,2,OR-REFL,1.0,0.05,0.15,1000.0,500.0,259.0,1.0,0.518
3,2,SR-REFL,1.0,0.05,0.15,1000.0,499.0,204.0,0.998,0.408
4,3,OR-REFL,0.5,0.1,0.15,1000.0,498.0,320.0,0.996,0.64
5,3,SR-REFL,0.5,0.1,0.15,1000.0,498.0,241.0,0.996,0.482
6,4,OR-REFL,1.0,0.1,0.15,1000.0,499.0,313.0,0.998,0.626
7,4,SR-REFL,1.0,0.1,0.15,1000.0,498.0,220.0,0.996,0.44
8,5,OR-REFL,0.5,0.05,0.5,1000.0,290.0,117.0,0.58,0.234
9,5,SR-REFL,0.5,0.05,0.5,1000.0,315.0,96.0,0.63,0.192
10,6,OR-REFL,1.0,0.05,0.5,1000.0,296.0,111.0,0.592,0.222
11,6,SR-REFL,1.0,0.05,0.5,1000.0,332.0,97.0,0.664,0.194
12,7,OR-REFL,0.5,0.1,0.5,1000.0,235.0,87.0,0.47,0.174
13,7,SR-REFL,0.5,0.1,0.5,1000.0,320.0,75.0,0.64,0.15
14,8,OR-REFL,1.0,0.1,0.5,1000.0,276.0,120.0,0.552,0.24
15,8,SR-REFL,1.0,0.1,0.5,1000.0,330.0,102.0,0.66,0.204
